Pessoa | Atividade | Sensor1 | Sensor2 | Sensor3 | Sensor4 | Sensor5
     3 |         9 | (6, 110) | (6, 110) | (6, 110) | (6, 110) | (9, 110)
     3 |        10 | (6, 110) | (9, 110) | (6, 110) | (4, 110) | (4, 110)
     3 |        11 | (6, 110) | (6, 110) | (6, 110) | (6, 110) | (4, 110)
     3 |        12 | (3, 110) | (3, 110) | (3, 110) | (3, 110) | (3, 110)
     3 |        13 | (8, 110) | (8, 110) | (8, 110) | (8, 110) | (8, 110)
     3 |        14 | (3, 110) | (3, 110) | (3, 110) | (3, 110) | (3, 110)
     3 |        15 | (1, 110) | (1, 110) | (1, 110) | (1, 110) | (1, 110)
     3 |        16 | (1, 110) | (1, 110) | (1, 110) | (1, 110) | (1, 110)
     4 |         1 | (210, 110) | (217, 110) | (218, 110) | (218, 110) | (202, 110)
     4 |         2 | (111, 110) | (111, 110) | (111, 110) | (114, 110) | (114, 110)
     4 |         3 | (111, 110) | (111, 110) | (114, 110) | (111, 110) | (114, 110)
     4 |         4 | (177, 110) | (184, 110) | (177, 110) | (174, 110) | (197, 110)
     4 |         5 | (182, 110) | (182, 110) | (182, 110) | (182, 110) | (189, 110)
     4 |         6 | (122, 110) | (114, 110) | (119, 110) | (119, 110) | (104, 110)
     4 |         7 | (61, 110) | (56, 110) | (61, 110) | (61, 110) | (59, 110)
     4 |         8 | (9, 110) | (9, 110) | (9, 110) | (4, 110) | (6, 110)
     4 |         9 | (6, 110) | (6, 110) | (4, 110) | (6, 110) | (6, 110)
     4 |        10 | (9, 110) | (6, 110) | (6, 110) | (6, 110) | (6, 110)
     4 |        11 | (6, 110) | (6, 110) | (4, 110) | (6, 110) | (6, 110)
     4 |        12 | (3, 110) | (3, 110) | (3, 110) | (3, 110) | (3, 110)
     4 |        13 | (8, 110) | (8, 110) | (8, 110) | (8, 110) | (8, 110)
     4 |        14 | (3, 110) | (3, 110) | (3, 110) | (3, 110) | (3, 110)
     4 |        15 | (1, 110) | (1, 110) | (1, 110) | (1, 110) | (1, 110)
     4 |        16 | (1, 110) | (1, 110) | (1, 110) | (1, 110) | (1, 110)
     5 |         1 | (224, 110) | (209, 110) | (119, 110) | (217, 110) | (227, 110)
     5 |         2 | (109, 110) | (109, 110) | (71, 110) | (109, 110) | (109, 110)
     5 |         3 | (111, 110) | (111, 110) | (69, 110) | (109, 110) | (114, 110)
     5 |         4 | (179, 110) | (187, 110) | (129, 110) | (184, 110) | (182, 110)
     5 |         5 | (177, 110) | (182, 110) | (127, 110) | (179, 110) | (177, 110)
     5 |         6 | (116, 110) | (114, 110) | (81, 110) | (116, 110) | (116, 110)
     5 |         7 | (59, 110) | (59, 110) | (41, 110) | (59, 110) | (56, 110)
     5 |         8 | (6, 110) | (9, 110) | (9, 110) | (6, 110) | (9, 110)
     5 |         9 | (6, 110) | (6, 110) | (9, 110) | (6, 110) | (4, 110)
     5 |        10 | (6, 110) | (6, 110) | (6, 110) | (9, 110) | (4, 110)
     5 |        11 | (6, 110) | (6, 110) | (11, 110) | (6, 110) | (4, 110)
     5 |        12 | (3, 110) | (3, 110) | (3, 110) | (3, 110) | (3, 110)
     5 |        13 | (8, 110) | (8, 110) | (8, 110) | (8, 110) | (8, 110)
     5 |        14 | (3, 110) | (3, 110) | (3, 110) | (3, 110) | (3, 110)
     5 |        15 | (1, 110) | (1, 110) | (1, 110) | (1, 110) | (1, 110)
     5 |        16 | (1, 110) | (1, 110) | (1, 110) | (1, 110) | (1, 110)
     6 |         1 | (209, 110) | (197, 110) | (187, 110) | (214, 110) | (212, 110)
     6 |         2 | (109, 110) | (109, 110) | (104, 110) | (109, 110) | (109, 110)
     6 |         3 | (109, 110) | (111, 110) | (109, 110) | (111, 110) | (111, 110)
     6 |         4 | (182, 110) | (192, 110) | (187, 110) | (177, 110) | (179, 110)
     6 |         5 | (187, 110) | (192, 110) | (189, 110) | (187, 110) | (189, 110)
     6 |         6 | (116, 110) | (114, 110) | (122, 110) | (119, 110) | (116, 110)
     6 |         7 | (56, 110) | (56, 110) | (56, 110) | (56, 110) | (54, 110)
     6 |         8 | (6, 110) | (6, 110) | (11, 110) | (6, 110) | (6, 110)
     6 |         9 | (6, 110) | (6, 110) | (6, 110) | (6, 110) | (6, 110)
     6 |        10 | (9, 110) | (9, 110) | (9, 110) | (6, 110) | (6, 110)
     6 |        11 | (6, 110) | (4, 110) | (6, 110) | (4, 110) | (6, 110)
     6 |        12 | (3, 110) | (3, 110) | (3, 110) | (3, 110) | (3, 110)
     6 |        13 | (8, 110) | (8, 110) | (8, 110) | (8, 110) | (8, 110)
     6 |        14 | (3, 110) | (3, 110) | (3, 110) | (3, 110) | (3, 110)
     6 |        15 | (1, 110) | (1, 110) | (1, 110) | (1, 110) | (1, 110)
     6 |        16 | (1, 110) | (1, 110) | (1, 110) | (1, 110) | (1, 110)
     7 |         1 | (227, 110) | (229, 110) | (232, 110) | (224, 110) | (229, 110)
     7 |         2 | (111, 110) | (111, 110) | (111, 110) | (111, 110) | (111, 110)
     7 |         3 | (111, 110) | (111, 110) | (111, 110) | (111, 110) | (111, 110)
     7 |         4 | (187, 110) | (187, 110) | (179, 110) | (187, 110) | (187, 110)
     7 |         5 | (187, 110) | (179, 110) | (172, 110) | (187, 110) | (184, 110)
     7 |         6 | (109, 110) | (111, 110) | (109, 110) | (109, 110) | (109, 110)
     7 |         7 | (54, 110) | (56, 110) | (54, 110) | (56, 110) | (56, 110)
     7 |         8 | (6, 110) | (6, 110) | (6, 110) | (6, 110) | (6, 110)
     7 |         9 | (6, 110) | (6, 110) | (6, 110) | (6, 110) | (4, 110)
     7 |        10 | (6, 110) | (6, 110) | (4, 110) | (6, 110) | (9, 110)
     7 |        11 | (6, 110) | (6, 110) | (9, 110) | (6, 110) | (4, 110)
     7 |        12 | (3, 110) | (3, 110) | (3, 110) | (3, 110) | (3, 110)
     7 |        13 | (8, 110) | (8, 110) | (8, 110) | (8, 110) | (8, 110)
     7 |        14 | (3, 110) | (3, 110) | (3, 110) | (3, 110) | (3, 110)
     7 |        15 | (1, 110) | (1, 110) | (1, 110) | (1, 110) | (1, 110)
     7 |        16 | (1, 110) | (1, 110) | (1, 110) | (1, 110) | (1, 110)
     8 |         1 | (207, 110) | (194, 110) | (184, 110) | (204, 110) | (197, 110)
     8 |         2 | (111, 110) | (111, 110) | (111, 110) | (111, 110) | (114, 110)
     8 |         3 | (111, 110) | (111, 110) | (109, 110) | (111, 110) | (114, 110)
     8 |         4 | (182, 110) | (169, 110) | (192, 110) | (184, 110) | (184, 110)
     8 |         5 | (184, 110) | (192, 110) | (192, 110) | (179, 110) | (184, 110)
     8 |         6 | (111, 110) | (129, 110) | (114, 110) | (114, 110) | (116, 110)
     8 |         7 | (56, 110) | (56, 110) | (56, 110) | (56, 110) | (59, 110)
     8 |         8 | (6, 110) | (6, 110) | (6, 110) | (6, 110) | (6, 110)
     8 |         9 | (6, 110) | (6, 110) | (6, 110) | (6, 110) | (4, 110)
     8 |        10 | (6, 110) | (6, 110) | (9, 110) | (6, 110) | (6, 110)
     8 |        11 | (6, 110) | (6, 110) | (9, 110) | (9, 110) | (4, 110)
     8 |        12 | (3, 110) | (3, 110) | (3, 110) | (3, 110) | (3, 110)
     8 |        13 | (8, 110) | (8, 110) | (8, 110) | (8, 110) | (8, 110)
     8 |        14 | (3, 110) | (3, 110) | (3, 110) | (3, 110) | (3, 110)
     8 |        15 | (1, 110) | (1, 110) | (1, 110) | (1, 110) | (1, 110)
     8 |        16 | (1, 110) | (1, 110) | (1, 110) | (1, 110) | (1, 110)
     9 |         1 | (197, 110) | (157, 110) | (209, 110) | (202, 110) | (207, 110)
     9 |         2 | (111, 110) | (86, 110) | (111, 110) | (111, 110) | (74, 110)
     9 |         3 | (111, 110) | (89, 110) | (114, 110) | (111, 110) | (114, 110)
     9 |         4 | (189, 110) | (164, 110) | (184, 110) | (187, 110) | (187, 110)
     9 |         5 | (187, 110) | (159, 110) | (177, 110) | (184, 110) | (184, 110)
     9 |         6 | (119, 110) | (96, 110) | (119, 110) | (119, 110) | (119, 110)
     9 |         7 | (59, 110) | (49, 110) | (61, 110) | (61, 110) | (61, 110)
     9 |         8 | (6, 110) | (6, 110) | (6, 110) | (6, 110) | (4, 110)
     9 |         9 | (6, 110) | (6, 110) | (6, 110) | (6, 110) | (4, 110)
     9 |        10 | (6, 110) | (9, 110) | (6, 110) | (6, 110) | (4, 110)
     9 |        11 | (6, 110) | (6, 110) | (4, 110) | (6, 110) | (4, 110)
     9 |        12 | (3, 110) | (3, 110) | (3, 110) | (3, 110) | (3, 110)
     9 |        13 | (8, 110) | (8, 110) | (8, 110) | (8, 110) | (8, 110)
     9 |        14 | (3, 110) | (3, 110) | (3, 110) | (3, 110) | (3, 110)
     9 |        15 | (1, 110) | (1, 110) | (1, 110) | (1, 110) | (1, 110)
     9 |        16 | (1, 110) | (1, 110) | (1, 110) | (1, 110) | (1, 110)
    10 |         1 | (194, 110) | (179, 110) | (212, 110) | (217, 110) | (197, 110)
    10 |         2 | (111, 110) | (104, 110) | (109, 110) | (111, 110) | (106, 110)
    10 |         3 | (111, 110) | (109, 110) | (109, 110) | (114, 110) | (109, 110)
    10 |         4 | (192, 110) | (187, 110) | (182, 110) | (179, 110) | (189, 110)
    10 |         5 | (184, 110) | (174, 110) | (172, 110) | (172, 110) | (192, 110)
    10 |         6 | (114, 110) | (114, 110) | (114, 110) | (116, 110) | (111, 110)
    10 |         7 | (59, 110) | (56, 110) | (59, 110) | (59, 110) | (54, 110)
    10 |         8 | (9, 110) | (6, 110) | (9, 110) | (6, 110) | (11, 110)
    10 |         9 | (4, 110) | (6, 110) | (9, 110) | (6, 110) | (6, 110)
    10 |        10 | (6, 110) | (6, 110) | (9, 110) | (4, 110) | (6, 110)
    10 |        11 | (4, 110) | (6, 110) | (9, 110) | (4, 110) | (6, 110)
    10 |        12 | (3, 110) | (3, 110) | (3, 110) | (3, 110) | (3, 110)
    10 |        13 | (8, 110) | (8, 110) | (8, 110) | (8, 110) | (8, 110)
    10 |        14 | (3, 110) | (3, 110) | (3, 110) | (3, 110) | (3, 110)
    10 |        15 | (1, 110) | (1, 110) | (1, 110) | (1, 110) | (1, 110)
    10 |        16 | (1, 110) | (1, 110) | (1, 110) | (1, 110) | (1, 110)
    11 |         1 | (219, 110) | (232, 110) | (224, 110) | (234, 110) | (217, 110)
    11 |         2 | (109, 110) | (109, 110) | (114, 110) | (109, 110) | (109, 110)
    11 |         3 | (66, 110) | (41, 110) | (114, 110) | (111, 110) | (109, 110)
    11 |         4 | (187, 110) | (177, 110) | (182, 110) | (182, 110) | (184, 110)
    11 |         5 | (184, 110) | (177, 110) | (177, 110) | (174, 110) | (184, 110)
    11 |         6 | (116, 110) | (114, 110) | (116, 110) | (116, 110) | (116, 110)
    11 |         7 | (56, 110) | (56, 110) | (56, 110) | (56, 110) | (56, 110)
    11 |         8 | (9, 110) | (9, 110) | (6, 110) | (6, 110) | (6, 110)
    11 |         9 | (6, 110) | (6, 110) | (4, 110) | (4, 110) | (6, 110)
    11 |        10 | (9, 110) | (9, 110) | (4, 110) | (4, 110) | (9, 110)
    11 |        11 | (6, 110) | (4, 110) | (6, 110) | (6, 110) | (6, 110)
    11 |        12 | (3, 110) | (3, 110) | (3, 110) | (3, 110) | (3, 110)
    11 |        13 | (8, 110) | (8, 110) | (8, 110) | (8, 110) | (8, 110)
    11 |        14 | (3, 110) | (3, 110) | (3, 110) | (3, 110) | (3, 110)
    11 |        15 | (1, 110) | (1, 110) | (1, 110) | (1, 110) | (1, 110)
    11 |        16 | (1, 110) | (1, 110) | (1, 110) | (1, 110) | (1, 110)
    12 |         1 | (217, 110) | (217, 110) | (152, 110) | (227, 110) | (232, 110)
    12 |         2 | (111, 110) | (114, 110) | (74, 110) | (111, 110) | (114, 110)
    12 |         3 | (111, 110) | (111, 110) | (74, 110) | (114, 110) | (116, 110)
    12 |         4 | (182, 110) | (179, 110) | (124, 110) | (182, 110) | (179, 110)
    12 |         5 | (182, 110) | (184, 110) | (127, 110) | (187, 110) | (177, 110)
    12 |         6 | (114, 110) | (114, 110) | (84, 110) | (116, 110) | (119, 110)
    12 |         7 | (54, 110) | (54, 110) | (39, 110) | (54, 110) | (59, 110)
    12 |         8 | (6, 110) | (6, 110) | (6, 110) | (6, 110) | (6, 110)
    12 |         9 | (6, 110) | (4, 110) | (6, 110) | (6, 110) | (4, 110)
    12 |        10 | (6, 110) | (6, 110) | (6, 110) | (6, 110) | (4, 110)
    12 |        11 | (6, 110) | (6, 110) | (9, 110) | (4, 110) | (4, 110)
    12 |        12 | (3, 110) | (3, 110) | (3, 110) | (3, 110) | (3, 110)
    12 |        13 | (8, 110) | (8, 110) | (8, 110) | (8, 110) | (8, 110)
    12 |        14 | (3, 110) | (3, 110) | (3, 110) | (3, 110) | (3, 110)
    12 |        15 | (1, 110) | (1, 110) | (1, 110) | (1, 110) | (1, 110)
    12 |        16 | (1, 110) | (1, 110) | (1, 110) | (1, 110) | (1, 110)
    13 |         1 | (202, 110) | (204, 110) | (222, 110) | (217, 110) | (204, 110)
    13 |         2 | (106, 110) | (111, 110) | (109, 110) | (114, 110) | (111, 110)
    13 |         3 | (111, 110) | (111, 110) | (114, 110) | (111, 110) | (111, 110)
    13 |         4 | (187, 110) | (192, 110) | (184, 110) | (187, 110) | (194, 110)
    13 |         5 | (192, 110) | (202, 110) | (177, 110) | (184, 110) | (187, 110)
    13 |         6 | (114, 110) | (106, 110) | (111, 110) | (111, 110) | (109, 110)
    13 |         7 | (56, 110) | (49, 110) | (56, 110) | (56, 110) | (59, 110)
    13 |         8 | (9, 110) | (6, 110) | (9, 110) | (4, 110) | (6, 110)
    13 |         9 | (9, 110) | (4, 110) | (9, 110) | (4, 110) | (6, 110)
    13 |        10 | (9, 110) | (9, 110) | (4, 110) | (6, 110) | (6, 110)
    13 |        11 | (6, 110) | (6, 110) | (6, 110) | (6, 110) | (6, 110)
    13 |        12 | (3, 110) | (3, 110) | (3, 110) | (3, 110) | (3, 110)
    13 |        13 | (8, 110) | (8, 110) | (8, 110) | (8, 110) | (8, 110)
    13 |        14 | (3, 110) | (3, 110) | (3, 110) | (3, 110) | (3, 110)
    13 |        15 | (1, 110) | (1, 110) | (1, 110) | (1, 110) | (1, 110)
    13 |        16 | (1, 110) | (1, 110) | (1, 110) | (1, 110) | (1, 110)
    14 |         1 | (207, 110) | (212, 110) | (222, 110) | (212, 110) | (212, 110)
    14 |         2 | (111, 110) | (109, 110) | (111, 110) | (109, 110) | (109, 110)
    14 |         3 | (109, 110) | (111, 110) | (109, 110) | (111, 110) | (111, 110)
    14 |         4 | (182, 110) | (184, 110) | (177, 110) | (182, 110) | (182, 110)
    14 |         5 | (184, 110) | (189, 110) | (187, 110) | (187, 110) | (187, 110)
    14 |         6 | (119, 110) | (119, 110) | (122, 110) | (122, 110) | (122, 110)
    14 |         7 | (59, 110) | (59, 110) | (56, 110) | (59, 110) | (59, 110)
    14 |         8 | (6, 110) | (9, 110) | (6, 110) | (9, 110) | (9, 110)
    14 |         9 | (6, 110) | (6, 110) | (6, 110) | (6, 110) | (6, 110)
    14 |        10 | (6, 110) | (6, 110) | (4, 110) | (6, 110) | (6, 110)
    14 |        11 | (9, 110) | (4, 110) | (9, 110) | (6, 110) | (6, 110)
    14 |        12 | (3, 110) | (3, 110) | (3, 110) | (3, 110) | (3, 110)
    14 |        13 | (8, 110) | (8, 110) | (8, 110) | (8, 110) | (8, 110)
    14 |        14 | (3, 110) | (3, 110) | (3, 110) | (3, 110) | (3, 110)
    14 |        15 | (1, 110) | (1, 110) | (1, 110) | (1, 110) | (1, 110)
    14 |        16 | (1, 110) | (1, 110) | (1, 110) | (1, 110) | (1, 110)
    15 |         1 | (212, 110) | (194, 110) | (204, 110) | (212, 110) | (214, 110)
    15 |         2 | (111, 110) | (109, 110) | (114, 110) | (114, 110) | (111, 110)
    15 |         3 | (109, 110) | (109, 110) | (111, 110) | (109, 110) | (109, 110)
    15 |         4 | (182, 110) | (184, 110) | (182, 110) | (184, 110) | (182, 110)
    15 |         5 | (187, 110) | (194, 110) | (189, 110) | (187, 110) | (167, 110)
    15 |         6 | (116, 110) | (119, 110) | (119, 110) | (116, 110) | (116, 110)
    15 |         7 | (59, 110) | (61, 110) | (59, 110) | (61, 110) | (79, 110)
    15 |         8 | (4, 110) | (9, 110) | (6, 110) | (4, 110) | (4, 110)
    15 |         9 | (9, 110) | (9, 110) | (6, 110) | (4, 110) | (6, 110)
    15 |        10 | (6, 110) | (9, 110) | (9, 110) | (6, 110) | (9, 110)
    15 |        11 | (9, 110) | (6, 110) | (4, 110) | (6, 110) | (6, 110)
    15 |        12 | (3, 110) | (3, 110) | (3, 110) | (3, 110) | (3, 110)
    15 |        13 | (8, 110) | (8, 110) | (8, 110) | (8, 110) | (8, 110)
    15 |        14 | (3, 110) | (3, 110) | (3, 110) | (3, 110) | (3, 110)
    15 |        15 | (1, 110) | (1, 110) | (1, 110) | (1, 110) | (1, 110)
    15 |        16 | (1, 110) | (1, 110) | (1, 110) | (1, 110) | (1, 110)
